key,name,sortOrder,japanese,instrument,website,group,altEnglish,altJapanese,altWebsite,altWebsite2
danny-grissett,Danny Grissett,Grissett; Danny,,piano,https://dannygrissett.com/,,,,,
dave-goodman,Dave Goodman,Goodman; Dave,,drums,,,,,,
david-bryant,David Bryant,Bryant; David,,piano,https://www.davidbryantmusic.com/,,,,,
david-negrete,David Negrete,Negrete; David,デイビッド・ネグレテ,sax,https://truenoteinc.wixsite.com/davidnegrete,,,,,
davy-mooney,Davy Mooney,Mooney: Davy,,guitar,https://davymooney.bandcamp.com/,,,,,
denbei-itachiyama,Denbei Itachiyama,Itachiyama; Denbei,伊太地山伝兵衛,vocals/guitar,https://ja.wikipedia.org/wiki/%E4%BC%8A%E5%A4%AA%E5%9C%B0%E5%B1%B1%E4%BC%9D%E5%85%B5%E8%A1%9B,,,,,
dj-passo,DJ Passo,Passo; DJ,,dj,,,,,,
dominick-farinacci,Dominick Farinacci,Farinacci; Dominick,,trumpet,https://www.dominickfarinacci.com/,,,,,
drew-gress,Drew Gress,Gress; Drew,,bass,https://en.wikipedia.org/wiki/Drew_Gress,,,,,
dwayne-burno,Dwayne Burno,Burno; Dwayne,,bass,https://en.wikipedia.org/wiki/Dwayne_Burno,,,,,
eiichi-hayashi,Eiichi Hayashi,Hayashi; Eiichi,林栄一,saxophone,https://www.eonet.ne.jp/%7En-east/,,,,,
eiji-otogawa,Eiji Otogawa,Otogawa; Eiji,音川英二,saxophone,http://bowz.main.jp/otogawa/,,,,,
ema,Ema,Ema,エマ,vocal,https://www.sonymusic.co.jp/artist/ema/,,,,,
emiko-tada,Emiko Tada,Tada; Emiko,多田恵美子,piano,,,,,,
emiko-voice,Emiko Voice,Emiko Voice,エミコヴォイス,vocal,http://www.emikovoice.com/,,EMiKO VoiCE,,https://ameblo.jp/emicovoice/,
erena-terakubo,Erena Terakubo,Terakubo; Erena,寺久保エレナ,saxophone,https://www.jamrice.co.jp/erena/,,,,,
eri-chichibu,Eri Chichibu,Chichibu; Eri,秩父英里,piano,https://www.erichichibu.com/,,,,,
eri-itonaga,Eri Itonaga,Itonaga; Eri;糸永衣里,viola,https://uplinkers-music.com/eri-itonaga/,,,,,,
eri-uenoyama,Eri Uenoyama,Uenoyama; Eri,上野山英里,piano,https://eriuenoyama.jimdofree.com/,,,,http://uenoyamaeri.web.fc2.com/,
eri-yazaki,Eri Yazaki,Yazaki; Eri,矢崎恵理,vocal,https://ameblo.jp/eriyazaki/,,,,,
eric-alexander,Eric Alexander,Alexander; Eric,,saxophone,https://www.ericalexanderjazz.com/,,,,,
eric-mcpherson,Eric McPherson,McPherson; Eric,,drums,http://www.ericmcpherson.com/,,,,,
eriko-ishihara,Eriko Ishihara,Ishihara; Eriko,石原江里子,piano,https://ameblo.jp/erikoishihara/,,,,,
eriko-shimizu,Eriko Shimizu,Shimizu; Eriko,清水絵理子,piano,http://ericcho.blog81.fc2.com/,,,,http://ericcho.papi4.com/,
erisa-ogawa,Erisa Ogawa,Ogawa; Erisa,小川恵理紗,flute,https://erisa321.wixsite.com/erisaogawa,,ERiSA,,https://ameblo.jp/erisaogawa,
francis-silva,Francis Silva,Silva; Francis,,percussion,https://www.discogs.com/artist/583413-Francis-Silva,,,,,
francisco-mela,Francisco Mela,Mela; Francisco,,drums,,,,,,
fukushi-tainaka,Fukushi Tainaka,Tainaka; Fukushi,田井中福司,drums,https://fukushitainaka.com/,,,,,
fumi-endo,Fumi Endo,Endo; Fumi,遠藤ふみ,piano,https://linktr.ee/e23227,,,,,
fumi-mizubayashi,Fumi Mizubayashi,Mizubayashi; Fumi,水林史,vocal,https://kurofunelady.com/,,,,,
fumie-chiba,Fumie Chiba,Chiba; Fumie,千葉史絵,piano,https://fumiechiba.com,,,,,
fumika-asari,Fumika Asari,Asari; Fumika,浅利史花,guitar,https://fumikaasari.com/,,,,https://ameblo.jp/ggg-jazz/,
fumiko-yamazaki,Fumiko Yamazaki,Yamazaki; Fumiko,山崎ふみこ,vibraphone,https://trill.jp/,,,,,
fumio-itabashi,Fumio Itabashi,Itabashi; Fumio,板橋文夫,piano,https://bowz.main.jp/itabashi/profile/profile.html,,,,,
fumio-karashima,Fumio Karashima,Karashima; Fumio,辛島文雄,piano,http://www.pit-inn.com/karashima/en/,,,,,
fuyu,Fuyu,Fuyu,,drums,https://fuyumusic.wixsite.com/fuyu,,,,,
gaku-hasegawa,Gaku Hasegawa,Hasegawa; Gaku,長谷川ガク,drums,http://www.gakudrum.com/,,,,,
gaku-kano,Gaku Kano,Kano; Gaku,叶 雅久,drums,https://www.instagram.com/gaku_kano/,,,,,
gary-smulyan,Gary Smulyan,Smulyan; Gary,,baritone saxophone,https://garysmulyan.com/,,,,,
gen-date,Gen Date,Date; Gen,伊達弦,percussion,http://www7a.biglobe.ne.jp/~encore/dategen/,,,,,
gen-ogimi,Gen Ogimi,Ogimi; Gen,大儀見元,percussion,https://www.genogimi.com/,,,,,
gene-jackson,Gene Jackson,Jackson; Gene,,drums,https://www.genejacksonmusic.com/,,,,,
george-mraz,George Mraz,Mraz; George,,bass,,,,,,
george-nakajima,George Nakajima,Nakajima; George,中嶋錠二,piano,https://georgenpf.exblog.jp/,1,,,,
geroge-kawaguchi,George Kawaguchi,Kawaguchi; George,ジョージ川口,drums,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B8%E5%B7%9D%E5%8F%A3,,,,,
glenn-zaleski,Glenn Zaleski,Zaleski; Glenn,,piano,https://www.glennzaleski.com/,,,,,
go-shimada,Go Shimada,Shimada; Go,島田剛,bass,http://goshimada.net/,,,,,
gordon-richter,Gordon Richter,Richter; Gordon,,clarinet,,,,,,
goro-katano,Goro Katano,Katano; Goro,片野吾朗,bass,http://gorobass.blogspot.com/,,,,,
grant-stewart,Grant Stewart,Stewart; Grant,,saxophone,https://www.grantstewartjazz.com/,,,,,
greg-ruggiero,Greg Ruggiero,Ruggiero; Greg,,guitar,,,,,,
gregoire-maret,Grégoire Maret,Maret; Grégoire,,harmonica,https://en.wikipedia.org/wiki/Gr%C3%A9goire_Maret,,,,,
gustavo-anacleto,Gustavo Anacleto,Anacleto; Gustavo,,saxophone,https://www.discogs.com/artist/3939948-Gustavo-Anacleto,,,,,
hajime-yoshizawa,Hajime Yoshizawa,Yoshizawa; Hajime,吉澤はじめ,piano,https://ameblo.jp/hajime-yoshizawa/,,,,,
hakuei-kim,Hakuei Kim,Kim; Hakuei,ハクエイ・キム,piano,https://www.universal-music.co.jp/hakuei-kim/,,,,,
hans-backenroth,Hans Backenroth,Backenroth; Hans,,bass,https://hansbackenroth.com/,,,,,
harold-maybern,Harold Maybern,Maybern; Harold,,piano,https://en.wikipedia.org/wiki/Harold_Mabern,,,,,
haruhiko-okabe,Haruhiko Okabe,Okabe; Haruhiko,岡部春彦,hichiriki,http://ww81.tiki.ne.jp/~hal-okabe/,,,,,
haruhisa-takamichi,Haruhisa Takamichi,Takamichi; Haruhisa,高道晴久,bass,,,,,,
haruka-sasaki,Haruka Sasaki,Sasaki; Haruka,佐々木はるか,sax,https://www.instagram.com/sasasakozy/,,,,,
harumi-nomoto,Harumi Nomoto,Nomoto; Harumi,野本晴美,piano,https://haruminomoto.jimdofree.com/,1,,,http://blog.livedoor.jp/ha_roomy/,
haruna-ishigaki,Haruna Ishigaki,Ishigaki; Haruna,石垣陽菜,bass,https://ggjazz.com/bass.html,,,,,
harutoshi-ito,Harutoshi Ito,Ito; Harutoshi,伊藤ハルトシ,cello,https://www.itoharutoshi.com,,,,,
heitetsu-rin,Heitetsu Rin,Rin; Heitetsu,リンヘイテツ,piano,https://www.rinheitetsu.com/,,,,,
hibiki-sato,Hibiki Sato,Sato; Hibiki,佐藤ひびき,vocals,https://www.hibikisato.info/,,,,,
hideaki-hori,Hideaki Hori,Hori; Hideaki,堀秀彰,piano,https://www.hideakihori.com/,1,,,http://horinky.withmusic.jp/,
hideaki-kanazawa,Hideaki Kanazawa,Kanazawa; Hideaki,金澤英明,bass,http://kanabass.web.fc2.com/,,,,,
hideaki-nakaji,Hideaki Nakaji,Nakaji; Hideaki,中路英明,trombone,http://blog.livedoor.jp/obatala/,,,,,
hideaki-yoshioka,Hideaki Yoshioka,Yoshioka; Hideaki,吉岡秀晃,piano,http://hideakiyoshioka.com/,,,,,
hidefumi-toki,Hidefumi Toki,Toki; Hidefumi,土岐英史,saxophone,https://cd-v.net/toki/,,,,,
hideki-kawamura,Hideki Kawamura,Kawamura; Hideki,河村英樹,saxophone,http://hidekisax.com/,,,,,
hidenobu-kalta-otsuki,Hidenobu “Kalta” Otsuki,Otsuki; Hidenobu “Kalta”,大槻“KALTA”英宣,drums,http://www.kaltek-musik-engine.com/,,,カルタ,,
hidenori-sato,Hidenori Sato,Sato; Hidenori,佐藤英宜,drums,http://hidenorisato.blog.fc2.com/,,,,,
hikari-ichihara,Hikari Ichihara,Ichihara; Hikari,市原ひかり,trumpet,https://hikariichihara.com/,,,,http://www.hikari-ichihara.com/,
hikaru-toho,Hikaru Toho,Toho; Hikaru,東保光,bass,https://pikasuke.exblog.jp/,,,,http://hikarutoho.web.fc2.com/about.html,
hinako-hodoshima,Hinako Hodoshima,Hodoshima; Hinako,程嶋日奈子,bass,http://www.hinabass.com/,,,,,
hinata-ishii,Hinata Ishii,Ishii; Hinata,石井ひなた,piano/saxophone,https://ultravybe.lnk.to/myplace,,,,,
hiro-a-key,Hiro-a-key,Hiro-a-key,,vocal,https://hiro-a-key.net/,,Nenashi,,,
hiro-kimura,Hiro Kimura,Kimura; Hiro,木村紘,drums,https://ameblo.jp/pasokimura/,,,,,
hiroaki-mizutani,Hiroaki Mizutani,Mizutani; Hiroaki,水谷浩章,bass,http://www.ab.cyberhome.ne.jp/~mizmzic/index.html,,,,,
hiroco-nagano,Hiroco Nagano,Nagano; Hiroco,永野寛子,vocal,https://hiroconaganoofficial.amebaownd.com/,,,,https://ameblo.jp/hiroconagano/,
hiroe-kobayashi,Hiroe Kobayashi,Kobayashi; Hiroe,小林宏衣,vocal,https://hirosnoopyhiro.wixsite.com/mysite,,Andy Hiroe,,https://ameblo.jp/snoopysurf/,https://www.instagram.com/hiro_ek/
hirohito-miyagami,Hirohito Miyagami,Miyagami; Hirohito,宮上啓仁,bass,https://hirohitomiyagami.wixsite.com/gamishi,,,,,
hirokazu-ishida,Hirokazu Ishida,Ishida; Hirokazu,石田寛和,saxophone,http://www.hirokazuishida.tokyo/,,,,,
hiroki-chiba,Hiroki Chiba,Chiba; Hiroki,千葉広樹,bass,https://linktr.ee/Hirokichiba,,,,,
hiroki-hayashi,Hiroki Hayashi,Hayashi; Hiroki,林宏樹,sax,https://thejazzmanstudio.amebaownd.com/,,,,,
hiroki-kitazawa,Hiroki Kitazawa,Kitazawa; Hiroki,北澤大樹,drums,https://www.instagram.com/hirokitazawa,,,,,
hiroki-miyano,Hiroki Miyano,Miyano; Hiroki,宮野弘紀,guitar,https://ameblo.jp/hiroki-miyano/,,,,,
hiroki-morioka,Hiroki Morioka,Morioka; Hiroko,森丘ヒロキ,piano,https://hiroki.moo.jp/,,,,,
hiroki-otsuka,Hiroki Otsuka,Otsuka; Hiroki,大塚浩貴,percussion,,,,,,
hiroki-shindo,Hiroki Shindo,Shindo; Hiroki,進藤洋樹,guitar,https://so-c.co.jp/ieoto/work/hirokishindo/,,,,,
hiroko-ishikawa,Hiroko Ishikawa,Ishikawa; Hiroko,石川寛子,violin,https://ishikawahiroko.com/,,,,,
hiroko-mase,Hiroko Mase,Mase; Hiroko,ませひろこ,saxophone,http://bowz.main.jp/masehiroko/,1,,,https://masehiro.exblog.jp/,
hiroko-takada,Hiroko Takada,Takada; Hiroko,高田ひろ子,piano,https://turdur.seesaa.net/,,,,,
hiroko-williams,Hiroko Williams,Williams; Hiroko,ウィリアムス浩子,vocal,https://hirokowilliams.com/,,,,,
hiromi-miura,Hiromi Miura,Miura; Hiromi,三浦裕美,saxophone,,,,,,
hiromi-shimizu,Hiromi Shimizu,Shimizu; Hiromi,清水ひろみ,vocal,http://hiromi-shimizu.info/,,,,https://ameblo.jp/hiromi-shimizu/,
hiromi-uehara,Hiromi Uehara,Uehara; Hiromi,上原ひろみ,piano,https://www.hiromiuehara.com/,,Hiromi,ひろみ,,
hironobu-nozawa,Hironobu Nozawa,Nozawa; Hironobu,野澤宏信,drums,https://hironobunozawa.weebly.com,,,,,
hironori-suzuki,Hironori Suzuki,Suzuki; Hironori,鈴木宏紀,drums,https://ameblo.jp/hironori-suzuki/,,,,,
hiroshi-fukutomi,Hiroshi Fukutomi,Fukutomi; Hiroshi,福冨博,guitar,https://hiroshifukutomi.jimdofree.com/,,,,,
hiroshi-gori-matsuda,Hiroshi “GORI” Matsuda,Matsuda; Hioshi “GORI”,松田“GORI”広士,drums,https://matsudagorihiroshi.jimdofree.com/,,,,,
hiroshi-iihoshi,Hiroshi Iihoshi,Iihoshi; Hiroshi,飯星裕史,keyboard,http://iihoshi.sakura.ne.jp/,,,,,
hiroshi-ikejiri,Hiroshi Ikejiri,Ikejiri; Hiroshi,池尻洋史,bass,https://hiroshiikejiri.tumblr.com/,,,,,
hiroshi-kagawa,Hiroshi Kagawa,Kagawa; Hiroshi,香川裕史,bass,http://kagawahiroshi.blog111.fc2.com/,,,,,
